stopwords_removed,unigrams_mlbb
"['bagus', 'walaupun', 'ngelagketemu', 'gelap', 'situ', 'ajar', 'toxic', 'terimakasih', 'developer', 'makanya', 'dm', 'sampai', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh']","[('bagus',), ('walaupun',), ('ngelagketemu',), ('gelap',), ('situ',), ('ajar',), ('toxic',), ('terimakasih',), ('developer',), ('makanya',), ('dm',), ('sampai',), ('assalamualaikum',), ('warahmatullahi',), ('wabarakatuh',)]"
"['seru', 'knpa', 'beberapa', 'parah', 'banget', 'pdhl', 'bagus', 'langsung', 'parah', 'banget', 'pdhl', 'belum', 'gprnh', 'masalah', 'lg']","[('seru',), ('knpa',), ('beberapa',), ('parah',), ('banget',), ('pdhl',), ('bagus',), ('langsung',), ('parah',), ('banget',), ('pdhl',), ('belum',), ('gprnh',), ('masalah',), ('lg',)]"
"['rekomendasi', 'ton', 'kurang', 'gelap']","[('rekomendasi',), ('ton',), ('kurang',), ('gelap',)]"
"['pertama', 'terimakasih', 'cipta', 'epic', 'beri', 'saran', 'tolong', 'benah', 'minta', 'tolong', 'benah', 'matching', 'garis', 'bawah', 'sungguh', 'classic', 'lagend', 'dapetnya', 'pangkat', 'warior', 'masuk', 'akal', 'mohon', 'benah', 'begitu', 'sudah', 'maklum', 'classic', 'lebih']","[('pertama',), ('terimakasih',), ('cipta',), ('epic',), ('beri',), ('saran',), ('tolong',), ('benah',), ('minta',), ('tolong',), ('benah',), ('matching',), ('garis',), ('bawah',), ('sungguh',), ('classic',), ('lagend',), ('dapetnya',), ('pangkat',), ('warior',), ('masuk',), ('akal',), ('mohon',), ('benah',), ('begitu',), ('sudah',), ('maklum',), ('classic',), ('lebih',)]"
"['selalu', 'adil', 'mana', 'musuh', 'terlalu', 'jago', 'mula']","[('selalu',), ('adil',), ('mana',), ('musuh',), ('terlalu',), ('jago',), ('mula',)]"
"['ketemu', 'bot']","[('ketemu',), ('bot',)]"
"['minimal', 'beri', 'musuh', 'sendiri', 'imbang', 'laa', 'sendiri', 'gabisaa', 'lawan', 'jago', 'gimana', 'menang']","[('minimal',), ('beri',), ('musuh',), ('sendiri',), ('imbang',), ('laa',), ('sendiri',), ('gabisaa',), ('lawan',), ('jago',), ('gimana',), ('menang',)]"
"['inih', 'bagus']","[('inih',), ('bagus',)]"
"['legends', 'seruu']","[('legends',), ('seruu',)]"
['baik'],"[('baik',)]"
"['kotol', 'lose', 'lose', 'moga', 'ceper', 'mati', 'nonton']","[('kotol',), ('lose',), ('lose',), ('moga',), ('ceper',), ('mati',), ('nonton',)]"
['tai'],"[('tai',)]"
['bantu'],"[('bantu',)]"
"['tolong', 'baik']","[('tolong',), ('baik',)]"
"['bagus', 'ampe', 'ratarata', 'playernya', 'sdm', 'turun']","[('bagus',), ('ampe',), ('ratarata',), ('playernya',), ('sdm',), ('turun',)]"
"['wah', 'keren', 'banget', 'ruang', 'clasik', 'brawel', 'arkade', 'tang', 'kasing', 'bintang', 'lima', 'musuh', 'botsemua', 'padaha', 'tang', 'epik', 'kenapa', 'musuh', 'bot']","[('wah',), ('keren',), ('banget',), ('ruang',), ('clasik',), ('brawel',), ('arkade',), ('tang',), ('kasing',), ('bintang',), ('lima',), ('musuh',), ('botsemua',), ('padaha',), ('tang',), ('epik',), ('kenapa',), ('musuh',), ('bot',)]"
"['babi', 'selalu', 'sampah']","[('babi',), ('selalu',), ('sampah',)]"
"['hampir', 'semuah', 'gelap', 'kecewa']","[('hampir',), ('semuah',), ('gelap',), ('kecewa',)]"
"['rusak', 'rusak']","[('rusak',), ('rusak',)]"
"['kenapa', 'selalu', 'bot', 'capek']","[('kenapa',), ('selalu',), ('bot',), ('capek',)]"
['bagong'],"[('bagong',)]"
"['gelap', 'banyak']","[('gelap',), ('banyak',)]"
"['banyak', 'darksistem', 'n', 'lag']","[('banyak',), ('darksistem',), ('n',), ('lag',)]"
"['skrng', 'suka', 'lag', 'pdahl', 'bukak', 'apk', 'lain', 'lancaraja']","[('skrng',), ('suka',), ('lag',), ('pdahl',), ('bukak',), ('apk',), ('lain',), ('lancaraja',)]"
"['bagus', 'semua', 'dowlodtannya', 'selalu', 'hilang', 'tinggal', 'sekolah', 'smp', 'hilang', 'mohon', 'baik', 'moga', 'perhati', 'segitu', 'mohon', 'kerja']","[('bagus',), ('semua',), ('dowlodtannya',), ('selalu',), ('hilang',), ('tinggal',), ('sekolah',), ('smp',), ('hilang',), ('mohon',), ('baik',), ('moga',), ('perhati',), ('segitu',), ('mohon',), ('kerja',)]"
"['seru', 'iklann', 'skin', 'banyakk', 'lukas', 'zilong', 'lain', 'lain']","[('seru',), ('iklann',), ('skin',), ('banyakk',), ('lukas',), ('zilong',), ('lain',), ('lain',)]"
"['makin', 'ancor', 'laq', 'sekrang', 'bagus']","[('makin',), ('ancor',), ('laq',), ('sekrang',), ('bagus',)]"
"['makin', 'makin', 'buruk', 'selalu', 'lag', 'mulai', 'jengkel']","[('makin',), ('makin',), ('buruk',), ('selalu',), ('lag',), ('mulai',), ('jengkel',)]"
"['kenapa', 'musuh', 'skin', 'skin', 'gaje', 'sekarang']","[('kenapa',), ('musuh',), ('skin',), ('skin',), ('gaje',), ('sekarang',)]"
"['jelas', 'sinyal', 'lag', 'dalem', 'buruk']","[('jelas',), ('sinyal',), ('lag',), ('dalem',), ('buruk',)]"
"['kon', 'ol', 'anjg', 'lag', 'parah', 'c', 'k']","[('kon',), ('ol',), ('anjg',), ('lag',), ('parah',), ('c',), ('k',)]"
"['lumayan', 'bagus', 'tipe', 'banget', 'rating', 'lebih', 'enak', 'king', 'segi', 'gamplay', 'bagus']","[('lumayan',), ('bagus',), ('tipe',), ('banget',), ('rating',), ('lebih',), ('enak',), ('king',), ('segi',), ('gamplay',), ('bagus',)]"
['draksistem'],"[('draksistem',)]"
"['jelas', 'gelap', 'semua', 'gendong']","[('jelas',), ('gelap',), ('semua',), ('gendong',)]"
"['ilang', 'signal']","[('ilang',), ('signal',)]"
"['woy', 'kenapa', 'makin', 'makin', 'lag', 'sinyal', 'pdhal', 'kouta', 'byk', 'sinyal', 'hijau', 'kenapa', 'lag', 'skin', 'banyak', 'lag', 'biarin']","[('woy',), ('kenapa',), ('makin',), ('makin',), ('lag',), ('sinyal',), ('pdhal',), ('kouta',), ('byk',), ('sinyal',), ('hijau',), ('kenapa',), ('lag',), ('skin',), ('banyak',), ('lag',), ('biarin',)]"
"['seru', 'baru', 'seru', 'teman', 'cuma', 'punya', 'keluh', 'masa', 'tadi', 'sudah', 'chat', 'yatim', 'random', 'moga', 'ramah', 'semua']","[('seru',), ('baru',), ('seru',), ('teman',), ('cuma',), ('punya',), ('keluh',), ('masa',), ('tadi',), ('sudah',), ('chat',), ('yatim',), ('random',), ('moga',), ('ramah',), ('semua',)]"
"['season', 'sekarang', 'ngaco', 'auto', 'lag', 'pdhl', 'sinyal', 'wifi', 'amanalhasil', 'jd', 'kalah', 'jg', 'kacausll', 'troll']","[('season',), ('sekarang',), ('ngaco',), ('auto',), ('lag',), ('pdhl',), ('sinyal',), ('wifi',), ('amanalhasil',), ('jd',), ('kalah',), ('jg',), ('kacausll',), ('troll',)]"
"['macthmaking', 'busuk', 'jelas', 'banget', 'beban', 'report', 'sedang', 'sungguh', 'sungguh', 'nak', 'report', 'aneh', 'mtyhic', 'atas', 'aneh', 'aneh', 'atur', 'aneh', 'mending', 'uninstal']","[('macthmaking',), ('busuk',), ('jelas',), ('banget',), ('beban',), ('report',), ('sedang',), ('sungguh',), ('sungguh',), ('nak',), ('report',), ('aneh',), ('mtyhic',), ('atas',), ('aneh',), ('aneh',), ('atur',), ('aneh',), ('mending',), ('uninstal',)]"
['bagus'],"[('bagus',)]"
"['bagus', 'bget', 'ramh', 'pk']","[('bagus',), ('bget',), ('ramh',), ('pk',)]"
"['sinyal', 'hijau', 'lag', 'sampai', 'afk']","[('sinyal',), ('hijau',), ('lag',), ('sampai',), ('afk',)]"
"['legends', 'sekarang', 'suka', 'lag', 'gajelas', 'bagus', 'lag', 'sendiri', 'knapa']","[('legends',), ('sekarang',), ('suka',), ('lag',), ('gajelas',), ('bagus',), ('lag',), ('sendiri',), ('knapa',)]"
"['sampah', 'jelas', 'beranta', 'ngatur', 'kikir', 'busuk']","[('sampah',), ('jelas',), ('beranta',), ('ngatur',), ('kikir',), ('busuk',)]"
"['parah', 'kena', 'kredit', 'skor', 'bs', 'ranked', 'cma', 'gara', 'gara', 'kurang', 'bs', 'sperti', 'lain', 'biar', 'lancar', 'mending', 'pindah', 'king']","[('parah',), ('kena',), ('kredit',), ('skor',), ('bs',), ('ranked',), ('cma',), ('gara',), ('gara',), ('kurang',), ('bs',), ('sperti',), ('lain',), ('biar',), ('lancar',), ('mending',), ('pindah',), ('king',)]"
['bagus'],"[('bagus',)]"
"['ngomong', 'tosix', 'sopan', 'kasihan', 'anak', 'anak', 'bawah', 'umur', 'bilang', 'mundur', 'mundur', 'lostreek', 'kualitas', 'bagus', 'mending', 'lain', 'mati', 'suri']","[('ngomong',), ('tosix',), ('sopan',), ('kasihan',), ('anak',), ('anak',), ('bawah',), ('umur',), ('bilang',), ('mundur',), ('mundur',), ('lostreek',), ('kualitas',), ('bagus',), ('mending',), ('lain',), ('mati',), ('suri',)]"
"['masa', 'iya', 'ketemu', 'trio', 'gitu', 'duoyg', 'imbang']","[('masa',), ('iya',), ('ketemu',), ('trio',), ('gitu',), ('duoyg',), ('imbang',)]"
"['kalah', 'naik', 'legendmonton', 'kecewa']","[('kalah',), ('naik',), ('legendmonton',), ('kecewa',)]"
['haji'],"[('haji',)]"
"['beri', 'ma', 'en', 'tolol', 'semua']","[('beri',), ('ma',), ('en',), ('tolol',), ('semua',)]"
['lumayan'],"[('lumayan',)]"
"['bento', 'banyak', 'bot']","[('bento',), ('banyak',), ('bot',)]"
"['ehh', 'poke', 'punya', 'apk', 'baharu', 'update', 'tan', 'benar', 'emosi', 'ping', 'stabil', 'fress', 'kwk', 'laq', 'laku', 'lalai', 'update']","[('ehh',), ('poke',), ('punya',), ('apk',), ('baharu',), ('update',), ('tan',), ('benar',), ('emosi',), ('ping',), ('stabil',), ('fress',), ('kwk',), ('laq',), ('laku',), ('lalai',), ('update',)]"
"['aneh', 'sekarang', 'mulai', 'mact', 'tulis', 'reconet', 'sinyal', 'bagus', 'winstrake', 'hancur', 'gara', 'gara', 'haduh', 'mohon', 'perhatianya']","[('aneh',), ('sekarang',), ('mulai',), ('mact',), ('tulis',), ('reconet',), ('sinyal',), ('bagus',), ('winstrake',), ('hancur',), ('gara',), ('gara',), ('haduh',), ('mohon',), ('perhatianya',)]"
"['akhir', 'bug', 'jelas', 'sampai', 'late', 'mainin', 'lancar', 'suka', 'lag', 'sungguh', 'masuk', 'akal', 'tolong', 'baik']","[('akhir',), ('bug',), ('jelas',), ('sampai',), ('late',), ('mainin',), ('lancar',), ('suka',), ('lag',), ('sungguh',), ('masuk',), ('akal',), ('tolong',), ('baik',)]"
"['coba', 'tambahin', 'ngirim', 'battle', 'poin', 'biar', 'ngirim', 'teman']","[('coba',), ('tambahin',), ('ngirim',), ('battle',), ('poin',), ('biar',), ('ngirim',), ('teman',)]"
"['bagus', 'keren', 'bagus', 'bagus', 'balik', 'jembut', 'buruk', 'buruk']","[('bagus',), ('keren',), ('bagus',), ('bagus',), ('balik',), ('jembut',), ('buruk',), ('buruk',)]"
"['makin', 'makin', 'jelas', 'masalah', 'jelek', 'banget', 'stabil', 'suka', 'lag', 'tibajadi', 'makin', 'males', 'update', 'makin', 'gede', 'mb', 'baik', 'sudah', 'waras']","[('makin',), ('makin',), ('jelas',), ('masalah',), ('jelek',), ('banget',), ('stabil',), ('suka',), ('lag',), ('tibajadi',), ('makin',), ('males',), ('update',), ('makin',), ('gede',), ('mb',), ('baik',), ('sudah',), ('waras',)]"
"['waw', 'seru']","[('waw',), ('seru',)]"
"['mantap', 'bagus', 'banget', 'ws', 'alhamdulillah']","[('mantap',), ('bagus',), ('banget',), ('ws',), ('alhamdulillah',)]"
"['bagussihh', 'tolong', 'gelap', 'hapus']","[('bagussihh',), ('tolong',), ('gelap',), ('hapus',)]"
"['sukak', 'user', 'franko', 'tari', 'maut', 'langsung', 'kena', 'lord']","[('sukak',), ('user',), ('franko',), ('tari',), ('maut',), ('langsung',), ('kena',), ('lord',)]"
"['sedot', 'makin', 'makin', 'jelek', 'makin', 'buruk', 'full', 'leq', 'bnyak', 'bug']","[('sedot',), ('makin',), ('makin',), ('jelek',), ('makin',), ('buruk',), ('full',), ('leq',), ('bnyak',), ('bug',)]"
"['moga', 'bagus']","[('moga',), ('bagus',)]"
"['buruk', 'banyak', 'draksistem', 'buruk', 'pernah']","[('buruk',), ('banyak',), ('draksistem',), ('buruk',), ('pernah',)]"
