stopwords_removed,3-gram
"['epik', 'benar', 'lahh', 'ey', 'rusak', 'dongg', 'susah', 'kalah', 'lebih', 'baik', 'bintang', 'satu']","['baik_bintang_satu', 'benar_lahh_ey', 'dongg_susah_kalah', 'epik_benar_lahh', 'ey_rusak_dongg', 'kalah_lebih_baik', 'lahh_ey_rusak', 'lebih_baik_bintang', 'rusak_dongg_susah', 'susah_kalah_lebih']"
"['bagus', 'bgtt', 'walaupun', 'lag', 'gatau', 'knp', 'wifi', 'bagus', 'win', 'kalah', 'lebih', 'win', 'gara', 'gara', 'bot', 'gitu', 'thanks']","['bagus_bgtt_walaupun', 'bagus_win_kalah', 'bgtt_walaupun_lag', 'bot_gitu_thanks', 'gara_bot_gitu', 'gara_gara_bot', 'gatau_knp_wifi', 'kalah_lebih_win', 'knp_wifi_bagus', 'lag_gatau_knp', 'lebih_win_gara', 'walaupun_lag_gatau', 'wifi_bagus_win', 'win_gara_gara', 'win_kalah_lebih']"
"['kontolo', 'memek']",[]
"['seru', 'banget']",[]
"['ubah', 'rang']",[]
"['suka', 'banget', 'seru']",['suka_banget_seru']
"['terimakasih', 'teman', 'nin', 'pergi', 'lama', 'mu', 'lama', 'love', 'you', 'bye']","['lama_love_you', 'lama_mu_lama', 'love_you_bye', 'mu_lama_love', 'nin_pergi_lama', 'pergi_lama_mu', 'teman_nin_pergi', 'terimakasih_teman_nin']"
['seru'],[]
"['gg', 'coo', 'keren', 'mantap', 'lebih', 'keren', 'ff', 'awokawokawok']","['coo_keren_mantap', 'gg_coo_keren', 'keren_ff_awokawokawok', 'keren_mantap_lebih', 'lebih_keren_ff', 'mantap_lebih_keren']"
"['tolong', 'lawan']",[]
['tolol'],[]
"['rusak', 'bug', 'hijau', 'lag']","['bug_hijau_lag', 'rusak_bug_hijau']"
