stopwords_removed,unigrams_hok
"['ho', 'iya', 'kenapa', 'burung', 'gold', 'len', 'paun', 'spaun', 'uda', 'matiin', 'paun', 'nyelesain', 'tutorial', 'burung', 'vinik', 'ka', 'paun', 'spaun', 'kanapaya', 'per', 'baikin']","[('ho',), ('iya',), ('kenapa',), ('burung',), ('gold',), ('len',), ('paun',), ('spaun',), ('uda',), ('matiin',), ('paun',), ('nyelesain',), ('tutorial',), ('burung',), ('vinik',), ('ka',), ('paun',), ('spaun',), ('kanapaya',), ('per',), ('baikin',)]"
"['makin', 'up', 'makin', 'sulit', 'mana', 'baru', 'ajar']","[('makin',), ('up',), ('makin',), ('sulit',), ('mana',), ('baru',), ('ajar',)]"
"['tindak', 'lanjut', 'hadap', 'laku', 'trolling', 'mulai', 'point', 'tetap', 'kurang', 'jika', 'jalan', 'yakin', 'banyak', 'tahan', 'tanggap', 'guna']","[('tindak',), ('lanjut',), ('hadap',), ('laku',), ('trolling',), ('mulai',), ('point',), ('tetap',), ('kurang',), ('jika',), ('jalan',), ('yakin',), ('banyak',), ('tahan',), ('tanggap',), ('guna',)]"
['keren'],"[('keren',)]"
['mamtul'],"[('mamtul',)]"
['oke'],"[('oke',)]"
"['ancur', 'nyoba', 'nyoba', 'emosi']","[('ancur',), ('nyoba',), ('nyoba',), ('emosi',)]"
['suka'],"[('suka',)]"
['oke'],"[('oke',)]"
['keren'],"[('keren',)]"
"['very', 'good']","[('very',), ('good',)]"
['sampah'],"[('sampah',)]"
['adita'],"[('adita',)]"
"['habis', 'update', 'framedrop', 'snapdragon', 'elite', 'bayangin', 'powerfull', 'ngeframe', 'sampai', 'fps', 'otak', 'sial']","[('habis',), ('update',), ('framedrop',), ('snapdragon',), ('elite',), ('bayangin',), ('powerfull',), ('ngeframe',), ('sampai',), ('fps',), ('otak',), ('sial',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['jelek', 'upadate', 'banyak', 'bug']","[('jelek',), ('upadate',), ('banyak',), ('bug',)]"
"['bagus', 'bageut', 'co', 'seru']","[('bagus',), ('bageut',), ('co',), ('seru',)]"
"['kil', 'banyak', 'mvp', 'mati', 'banyak', 'kil', 'mvp', 'jelas']","[('kil',), ('banyak',), ('mvp',), ('mati',), ('banyak',), ('kil',), ('mvp',), ('jelas',)]"
"['iklan', 'darah', 'tinggi']","[('iklan',), ('darah',), ('tinggi',)]"
"['spike', 'iklan', 'ganggu', 'sumpah', 'iklan', 'pasti', 'kalah']","[('spike',), ('iklan',), ('ganggu',), ('sumpah',), ('iklan',), ('pasti',), ('kalah',)]"
[],[]
"['banyak', 'ngikutin', 'aov', 'plagiat', 'kah']","[('banyak',), ('ngikutin',), ('aov',), ('plagiat',), ('kah',)]"
"['tu', 'latih', 'masuk', 'lebih', 'hard']","[('tu',), ('latih',), ('masuk',), ('lebih',), ('hard',)]"
"['pelit', 'matchnya', 'kurang', 'bagus', 'banget', 'bagi', 'susah', 'kadang', 'kadang', 'kadang', 'menang', 'kadang', 'kalah', 'kalah', 'kira', 'satu', 'dua', 'tiga', 'sampai', 'lebih', 'kadang', 'master', 'nyoba', 'diranked', 'mikir', 'gimana', 'kira', 'bintang', 'kurang', 'kalah', 'salah', 'besar', 'jangan', 'pernah', 'nyoba', 'diranked', 'simulasi', 'mikirlah', 'siapa']","[('pelit',), ('matchnya',), ('kurang',), ('bagus',), ('banget',), ('bagi',), ('susah',), ('kadang',), ('kadang',), ('kadang',), ('menang',), ('kadang',), ('kalah',), ('kalah',), ('kira',), ('satu',), ('dua',), ('tiga',), ('sampai',), ('lebih',), ('kadang',), ('master',), ('nyoba',), ('diranked',), ('mikir',), ('gimana',), ('kira',), ('bintang',), ('kurang',), ('kalah',), ('salah',), ('besar',), ('jangan',), ('pernah',), ('nyoba',), ('diranked',), ('simulasi',), ('mikirlah',), ('siapa',)]"
"['wei', 'ngotak', 'sedikit', 'masa', 'range', 'gold', 'lawan', 'ngga', 'ngotak', 'temn', 'bego', 'iya', 'lama', 'baru', 'donlod', 'lawa', 'gila']","[('wei',), ('ngotak',), ('sedikit',), ('masa',), ('range',), ('gold',), ('lawan',), ('ngga',), ('ngotak',), ('temn',), ('bego',), ('iya',), ('lama',), ('baru',), ('donlod',), ('lawa',), ('gila',)]"
['bagus'],"[('bagus',)]"
['bagus'],"[('bagus',)]"
"['seru', 'banget', 'mirip', 'legends', 'mudah', 'banget', 'maininnya', 'bagus', 'bagus', 'pentakill', 'nyaa']","[('seru',), ('banget',), ('mirip',), ('legends',), ('mudah',), ('banget',), ('maininnya',), ('bagus',), ('bagus',), ('pentakill',), ('nyaa',)]"
"['tolong', 'baik', 'biar', 'force', 'close']","[('tolong',), ('baik',), ('biar',), ('force',), ('close',)]"
"['jawab', 'ngehabis', 'kuota', 'mana', 'banyak', 'ngehabis', 'kuota', 'bocil']","[('jawab',), ('ngehabis',), ('kuota',), ('mana',), ('banyak',), ('ngehabis',), ('kuota',), ('bocil',)]"
"['musik', 'tema', 'aneh', 'nyambung', 'musik', 'tema', 'lain', 'tambahin', 'baru', 'jangan', 'bosen']","[('musik',), ('tema',), ('aneh',), ('nyambung',), ('musik',), ('tema',), ('lain',), ('tambahin',), ('baru',), ('jangan',), ('bosen',)]"
"['grafik', 'bagus', 'bangat']","[('grafik',), ('bagus',), ('bangat',)]"
"['kalah', 'turun', 'turun', 'trs', 'mana', 'gitu', 'banget', 'bkn', 'kesel']","[('kalah',), ('turun',), ('turun',), ('trs',), ('mana',), ('gitu',), ('banget',), ('bkn',), ('kesel',)]"
"['ketemu', 'musuh', 'jago', 'banget', 'kecil']","[('ketemu',), ('musuh',), ('jago',), ('banget',), ('kecil',)]"
['baru'],"[('baru',)]"
"['bagus', 'tarik', 'keren', 'legends', 'gila', 'jelek']","[('bagus',), ('tarik',), ('keren',), ('legends',), ('gila',), ('jelek',)]"
"['ngerti', 'season', 'kasi', 'ngetrol', 'roam', 'daji', 'lahh', 'segala', 'macam']","[('ngerti',), ('season',), ('kasi',), ('ngetrol',), ('roam',), ('daji',), ('lahh',), ('segala',), ('macam',)]"
['peler'],"[('peler',)]"
['terimakasih'],"[('terimakasih',)]"
"['tolong', 'baik', 'bugnya', 'contoh', 'file', 'skin', 'hilang', 'sudah', 'skinnya', 'sperti', 'skin', 'guiguzi', 'jjk', 'skin', 'mayene', 'food', 'fodie', 'spend', 'token', 'akhir', 'tanggap', 'moga', 'file', 'ski', 'cepat']","[('tolong',), ('baik',), ('bugnya',), ('contoh',), ('file',), ('skin',), ('hilang',), ('sudah',), ('skinnya',), ('sperti',), ('skin',), ('guiguzi',), ('jjk',), ('skin',), ('mayene',), ('food',), ('fodie',), ('spend',), ('token',), ('akhir',), ('tanggap',), ('moga',), ('file',), ('ski',), ('cepat',)]"
['ycca'],"[('ycca',)]"
"['tolong', 'optimasi', 'minimal', 'grafik', 'rendah', 'bahkan', 'rata', 'kiri', 'msih', 'suka', 'panas', 'framedrop', 'emng', 'mid', 'low', 'cuma', 'msih', 'usaha', 'tahan', 'digame', 'minimal', 'masa', 'gugur']","[('tolong',), ('optimasi',), ('minimal',), ('grafik',), ('rendah',), ('bahkan',), ('rata',), ('kiri',), ('msih',), ('suka',), ('panas',), ('framedrop',), ('emng',), ('mid',), ('low',), ('cuma',), ('msih',), ('usaha',), ('tahan',), ('digame',), ('minimal',), ('masa',), ('gugur',)]"
"['mohon', 'maaf', 'delovoper', 'king', 'guna', 'wifi', 'tetapi', 'pilih', 'suruh', 'tunggu', 'tunggu', 'sudah', 'selesai', 'tetapi', 'masuk', 'tolong', 'jika', 'bug', 'segera', 'benar', 'reputasi', 'turun', 'jujur', 'seru']","[('mohon',), ('maaf',), ('delovoper',), ('king',), ('guna',), ('wifi',), ('tetapi',), ('pilih',), ('suruh',), ('tunggu',), ('tunggu',), ('sudah',), ('selesai',), ('tetapi',), ('masuk',), ('tolong',), ('jika',), ('bug',), ('segera',), ('benar',), ('reputasi',), ('turun',), ('jujur',), ('seru',)]"
"['beri', 'bintang']","[('beri',), ('bintang',)]"
"['bagus', 'banget']","[('bagus',), ('banget',)]"
"['server', 'coba', 'lihat', 'komentar', 'chandra', 'chan', 'total', 'e', 'gb', 'sudah', 'bukti', 'komentar', 'chandra', 'chan', 'suka', 'banget', 'tsb', 'kuota', 'seluler', 'capai', 'segitu', 'besar', 'wifi', 'seluler', 'mengunakan', 'gigabyte', 'wifi', 'lot']","[('server',), ('coba',), ('lihat',), ('komentar',), ('chandra',), ('chan',), ('total',), ('e',), ('gb',), ('sudah',), ('bukti',), ('komentar',), ('chandra',), ('chan',), ('suka',), ('banget',), ('tsb',), ('kuota',), ('seluler',), ('capai',), ('segitu',), ('besar',), ('wifi',), ('seluler',), ('mengunakan',), ('gigabyte',), ('wifi',), ('lot',)]"
"['buruk', 'kopi', 'bang', 'bang', 'gacocok', 'king', 'kingnya', 'elo', 'raja', 'tuhan', 'tuhan', 'allah', 'swt']","[('buruk',), ('kopi',), ('bang',), ('bang',), ('gacocok',), ('king',), ('kingnya',), ('elo',), ('raja',), ('tuhan',), ('tuhan',), ('allah',), ('swt',)]"
"['mending', 'genshin']","[('mending',), ('genshin',)]"
[],[]
"['buruk', 'matchnya', 'ajg', 'stres', 'banyak', 'mula', 'baru', 'banget', 'sementara', 'musuh', 'veteran', 'semua', 'peak', 'nyaman', 'banget', 'gimana', 'solusi']","[('buruk',), ('matchnya',), ('ajg',), ('stres',), ('banyak',), ('mula',), ('baru',), ('banget',), ('sementara',), ('musuh',), ('veteran',), ('semua',), ('peak',), ('nyaman',), ('banget',), ('gimana',), ('solusi',)]"
"['mohon', 'baik', 'pakek', 'wifi', 'sinyal', 'merah', 'nanti', 'klok', 'sudah', 'setabil', 'tambah', 'bintang']","[('mohon',), ('baik',), ('pakek',), ('wifi',), ('sinyal',), ('merah',), ('nanti',), ('klok',), ('sudah',), ('setabil',), ('tambah',), ('bintang',)]"
"['update', 'lag', 'belum', 'lancar']","[('update',), ('lag',), ('belum',), ('lancar',)]"
"['bagus', 'namun', 'mb', 'besar', 'tolong', 'mb', 'kurang']","[('bagus',), ('namun',), ('mb',), ('besar',), ('tolong',), ('mb',), ('kurang',)]"
['seru'],"[('seru',)]"
"['tolong', 'baik', 'gm', 'full', 'master', 'sampah', 'banget', 'kagak', 'jelas']","[('tolong',), ('baik',), ('gm',), ('full',), ('master',), ('sampah',), ('banget',), ('kagak',), ('jelas',)]"
"['kuat', 'anj']","[('kuat',), ('anj',)]"
"['bagus', 'kucing', 'imut', 'banget', 'bintang', 'lima']","[('bagus',), ('kucing',), ('imut',), ('banget',), ('bintang',), ('lima',)]"
"['kapan', 'collab', 'demon', 'slayer', 'music', 'entrance', 'infinity', 'castle']","[('kapan',), ('collab',), ('demon',), ('slayer',), ('music',), ('entrance',), ('infinity',), ('castle',)]"
"['lumayan', 'mantap']","[('lumayan',), ('mantap',)]"
"['adil', 'setting', 'banyak', 'kalah', 'kompak', 'sedang', 'musuh', 'kompak', 'rusak']","[('adil',), ('setting',), ('banyak',), ('kalah',), ('kompak',), ('sedang',), ('musuh',), ('kompak',), ('rusak',)]"
['tiru'],"[('tiru',)]"
"['enak', 'banget', 'sumpah', 'no', 'tipu', 'tipu']","[('enak',), ('banget',), ('sumpah',), ('no',), ('tipu',), ('tipu',)]"
['bagus'],"[('bagus',)]"
"['baru', 'pelit', 'bagi', 'skin', 'gerat']","[('baru',), ('pelit',), ('bagi',), ('skin',), ('gerat',)]"
"['bagus', 'banget']","[('bagus',), ('banget',)]"
['gacor'],"[('gacor',)]"
"['lain', 'feeder', 'b', 'jelas', 'mati', 'salah']","[('lain',), ('feeder',), ('b',), ('jelas',), ('mati',), ('salah',)]"
"['pernah', 'seru', 'banget', 'bahkan', 'lawan', 'banyak', 'musuh']","[('pernah',), ('seru',), ('banget',), ('bahkan',), ('lawan',), ('banyak',), ('musuh',)]"
"['developer', 'semangat', 'kembang', 'sekin', 'gerat', 'hemm', 'oh', 'iya', 'matchamaking', 'terimakasih', 'nyata', 'benar', 'teman', 'lebih', 'seru', 'bosan', 'agak', 'sepi', 'hem', 'sepi', 'dalam', 'gelap', 'hemm', 'moga', 'developer', 'beri', 'sekin', 'gerat', 'limpah', 'makin', 'semangat', 'hehehe', 'gimana', 'tolong', 'atas', 'baik']","[('developer',), ('semangat',), ('kembang',), ('sekin',), ('gerat',), ('hemm',), ('oh',), ('iya',), ('matchamaking',), ('terimakasih',), ('nyata',), ('benar',), ('teman',), ('lebih',), ('seru',), ('bosan',), ('agak',), ('sepi',), ('hem',), ('sepi',), ('dalam',), ('gelap',), ('hemm',), ('moga',), ('developer',), ('beri',), ('sekin',), ('gerat',), ('limpah',), ('makin',), ('semangat',), ('hehehe',), ('gimana',), ('tolong',), ('atas',), ('baik',)]"
"['tetap', 'keluar', 'paksa', 'dalam', 'tanding', 'kena', 'report', 'afk', 'parah', 'jelas', 'banget', 'saran', 'grafik', 'sudah', 'rendah', 'tetap', 'benar', 'coba', 'teman', 'bagus', 'tetap', 'begini', 'paksa', 'keluar', 'dalam', 'tanding', 'lebih', 'parah', 'walaupun', 'cash', 'pernah', 'keluar', 'paksa', 'dalam', 'sebut', 'kecewa', 'butuh', 'bukti', 'ss', 'akhir', 'keluar', 'paksa', 'dalam', 'tanding', 'kena', 'report']","[('tetap',), ('keluar',), ('paksa',), ('dalam',), ('tanding',), ('kena',), ('report',), ('afk',), ('parah',), ('jelas',), ('banget',), ('saran',), ('grafik',), ('sudah',), ('rendah',), ('tetap',), ('benar',), ('coba',), ('teman',), ('bagus',), ('tetap',), ('begini',), ('paksa',), ('keluar',), ('dalam',), ('tanding',), ('lebih',), ('parah',), ('walaupun',), ('cash',), ('pernah',), ('keluar',), ('paksa',), ('dalam',), ('sebut',), ('kecewa',), ('butuh',), ('bukti',), ('ss',), ('akhir',), ('keluar',), ('paksa',), ('dalam',), ('tanding',), ('kena',), ('report',)]"
"['jangan', 'mula', 'semua']","[('jangan',), ('mula',), ('semua',)]"
['suka'],"[('suka',)]"
"['halah', 'tiru', 'dasar', 'buruk', 'moga', 'mati']","[('halah',), ('tiru',), ('dasar',), ('buruk',), ('moga',), ('mati',)]"
"['seru', 'bang', 'et']","[('seru',), ('bang',), ('et',)]"
['bagus'],"[('bagus',)]"
"['lostreak', 'ganti']","[('lostreak',), ('ganti',)]"
['bagus'],"[('bagus',)]"
"['iklan', 'nyenggol', 'kualitas', 'bgus', 'amat', 'diupdate', 'lobby', 'mlu', 'urusin', 'noh', 'sudah', 'update', 'gaguna', 'lag', 'mending', 'dri', 'pda', 'jangan', 'didownload', 'guyss']","[('iklan',), ('nyenggol',), ('kualitas',), ('bgus',), ('amat',), ('diupdate',), ('lobby',), ('mlu',), ('urusin',), ('noh',), ('sudah',), ('update',), ('gaguna',), ('lag',), ('mending',), ('dri',), ('pda',), ('jangan',), ('didownload',), ('guyss',)]"
"['keren', 'log', 'sebentar', 'tiktok']","[('keren',), ('log',), ('sebentar',), ('tiktok',)]"
"['bagus', 'banget', 'walau', 'niru']","[('bagus',), ('banget',), ('walau',), ('niru',)]"
['mantap'],"[('mantap',)]"
"['ukur', 'kecil', 'minimal', 'tambah', 'otomatis', 'skin', 'efek', 'animasi', 'butuh', 'hilang']","[('ukur',), ('kecil',), ('minimal',), ('tambah',), ('otomatis',), ('skin',), ('efek',), ('animasi',), ('butuh',), ('hilang',)]"
"['seru', 'sayang', 'niru']","[('seru',), ('sayang',), ('niru',)]"
"['bagus', 'lebih', 'bagus', 'bintang', 'lebih', 'kembang']","[('bagus',), ('lebih',), ('bagus',), ('bintang',), ('lebih',), ('kembang',)]"
"['grafik', 'sudah', 'bagus', 'skin', 'bagus', 'suka']","[('grafik',), ('sudah',), ('bagus',), ('skin',), ('bagus',), ('suka',)]"
['bagus'],"[('bagus',)]"
"['tiga', 'nanti', 'nyesel', 'takut', 'musuh', 'musuh', 'suka', 'keroyokan']","[('tiga',), ('nanti',), ('nyesel',), ('takut',), ('musuh',), ('musuh',), ('suka',), ('keroyokan',)]"
['bagus'],"[('bagus',)]"
"['bagus', 'lahh']","[('bagus',), ('lahh',)]"
"['drop', 'fps', 'update', 'banding', 'belum', 'update', 'fps', 'stabil', 'mohon', 'optimalisasi']","[('drop',), ('fps',), ('update',), ('banding',), ('belum',), ('update',), ('fps',), ('stabil',), ('mohon',), ('optimalisasi',)]"
"['baik', 'mact', 'tolong', 'baik']","[('baik',), ('mact',), ('tolong',), ('baik',)]"
['sukah'],"[('sukah',)]"
['ngebug'],"[('ngebug',)]"
"['enk', 'banget', 'karakter', 'bagus']","[('enk',), ('banget',), ('karakter',), ('bagus',)]"
['bagus'],"[('bagus',)]"
"['sumpaahh', 'seru', 'pwwool', 'aaik', 'karakter', 'lucu', 'cantik', 'ganteng', 'kuat', 'pula', 'cocok', 'mula', 'mb', 'banyak', 'lag', 'pliss', 'mb', 'turunin', 'biar', 'makin', 'suka', 'terimakasih', 'sudah', 'suka']","[('sumpaahh',), ('seru',), ('pwwool',), ('aaik',), ('karakter',), ('lucu',), ('cantik',), ('ganteng',), ('kuat',), ('pula',), ('cocok',), ('mula',), ('mb',), ('banyak',), ('lag',), ('pliss',), ('mb',), ('turunin',), ('biar',), ('makin',), ('suka',), ('terimakasih',), ('sudah',), ('suka',)]"
"['lebih', 'bagus']","[('lebih',), ('bagus',)]"
['keren'],"[('keren',)]"
"['baru', 'nich']","[('baru',), ('nich',)]"
"['bagus', 'but', 'rekomend', 'patah', 'patah']","[('bagus',), ('but',), ('rekomend',), ('patah',), ('patah',)]"
"['bagus', 'banget', 'banyak', 'skin', 'skin', 'bagus', 'lebih', 'nomor', 'indonesia']","[('bagus',), ('banget',), ('banyak',), ('skin',), ('skin',), ('bagus',), ('lebih',), ('nomor',), ('indonesia',)]"
"['suka', 'semenjak', 'instal', 'lama', 'suara', 'hilang', 'kuat', 'kebel', 'sendiri', 'kumpulin', 'skin', 'tolong', 'baik']","[('suka',), ('semenjak',), ('instal',), ('lama',), ('suara',), ('hilang',), ('kuat',), ('kebel',), ('sendiri',), ('kumpulin',), ('skin',), ('tolong',), ('baik',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['seru', 'gampang', 'menang', 'moga', 'tagih']","[('seru',), ('gampang',), ('menang',), ('moga',), ('tagih',)]"
"['bagus', 'ukur', 'terlalu', 'besar', 'lebih', 'tolong', 'versi', 'gb', 'gb']","[('bagus',), ('ukur',), ('terlalu',), ('besar',), ('lebih',), ('tolong',), ('versi',), ('gb',), ('gb',)]"
"['dancok', 'sinyal', 'lancar', 'fps', 'turun', 'sinyal', 'lag', 'fps', 'naik', 'tolol']","[('dancok',), ('sinyal',), ('lancar',), ('fps',), ('turun',), ('sinyal',), ('lag',), ('fps',), ('naik',), ('tolol',)]"
"['play', 'lumayan', 'mirip', 'satu', 'kurang', 'yaitu', 'walupun', 'begus', 'tetetapi', 'tetap', 'lag', 'banyak', 'banget', 'loading', 'keluar', 'sendiri', 'bagaimana', 'play', 'tetap', 'bagus', 'bintang']","[('play',), ('lumayan',), ('mirip',), ('satu',), ('kurang',), ('yaitu',), ('walupun',), ('begus',), ('tetetapi',), ('tetap',), ('lag',), ('banyak',), ('banget',), ('loading',), ('keluar',), ('sendiri',), ('bagaimana',), ('play',), ('tetap',), ('bagus',), ('bintang',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['keren', 'bagus', 'mantap']","[('keren',), ('bagus',), ('mantap',)]"
['seru'],"[('seru',)]"
['tolol'],"[('tolol',)]"
"['admin', 'server', 'sial', 'cuma', 'satu', 'menang', 'bangst', 'kenapa', 'tolol', 'diamond', 'turun', 'gold', 'wajar', 'ajg', 'bug', 'harap', 'dinotice', 'sudah', 'terlalu']","[('admin',), ('server',), ('sial',), ('cuma',), ('satu',), ('menang',), ('bangst',), ('kenapa',), ('tolol',), ('diamond',), ('turun',), ('gold',), ('wajar',), ('ajg',), ('bug',), ('harap',), ('dinotice',), ('sudah',), ('terlalu',)]"
"['kenapa', 'season', 'musuh', 'jauh', 'lebih', 'baik', 'tanding', 'selalu', 'imbang']","[('kenapa',), ('season',), ('musuh',), ('jauh',), ('lebih',), ('baik',), ('tanding',), ('selalu',), ('imbang',)]"
"['minimal', 'kentang', 'dh', 'kuat', 'makanya', 'pensi', 'sorry', 'minimal', 'misal', 'anggap', 'jelek', 'maksud', 'agak', 'ringan']","[('minimal',), ('kentang',), ('dh',), ('kuat',), ('makanya',), ('pensi',), ('sorry',), ('minimal',), ('misal',), ('anggap',), ('jelek',), ('maksud',), ('agak',), ('ringan',)]"
"['seru', 'tarik']","[('seru',), ('tarik',)]"
"['suka', 'banget', 'banyak', 'skin', 'dewa', 'china']","[('suka',), ('banget',), ('banyak',), ('skin',), ('dewa',), ('china',)]"
"['sinyal', 'bagus', 'suka', 'lag', 'downlodan', 'beres', 'tolong', 'selesai', 'duku']","[('sinyal',), ('bagus',), ('suka',), ('lag',), ('downlodan',), ('beres',), ('tolong',), ('selesai',), ('duku',)]"
"['bagus', 'tier', 'makin', 'tinggi', 'lawan', 'makin', 'jago', 'makin', 'tolol']","[('bagus',), ('tier',), ('makin',), ('tinggi',), ('lawan',), ('makin',), ('jago',), ('makin',), ('tolol',)]"
['kontl'],"[('kontl',)]"
"['bug', 'warna', 'pink', 'semua', 'sudah', 'nenerapa', 'maon', 'warna', 'pink', 'semua', 'baru', 'langsung', 'bug', 'pink', 'lg', 'auto', 'afk']","[('bug',), ('warna',), ('pink',), ('semua',), ('sudah',), ('nenerapa',), ('maon',), ('warna',), ('pink',), ('semua',), ('baru',), ('langsung',), ('bug',), ('pink',), ('lg',), ('auto',), ('afk',)]"
"['sudah', 'update', 'cepat', 'panas', 'belum', 'oke']","[('sudah',), ('update',), ('cepat',), ('panas',), ('belum',), ('oke',)]"
"['developer', 'maksud', 'gimana', 'komputer', 'saling', 'kerja', 'percuma', 'bintang', 'naik', 'satu', 'tadi', 'kalah', 'beda', 'jauh', 'habis', 'magrib', 'sampai', 'sekarang', 'bukan', 'naik', 'bintang', 'turun', 'naik', 'balikin', 'ksih', 'bintang', 'biar', 'lo', 'pad', 'neng', 'inti', 'beda', 'hilangin', 'stres', 'tambah', 'gedek']","[('developer',), ('maksud',), ('gimana',), ('komputer',), ('saling',), ('kerja',), ('percuma',), ('bintang',), ('naik',), ('satu',), ('tadi',), ('kalah',), ('beda',), ('jauh',), ('habis',), ('magrib',), ('sampai',), ('sekarang',), ('bukan',), ('naik',), ('bintang',), ('turun',), ('naik',), ('balikin',), ('ksih',), ('bintang',), ('biar',), ('lo',), ('pad',), ('neng',), ('inti',), ('beda',), ('hilangin',), ('stres',), ('tambah',), ('gedek',)]"
"['iklan', 'diimana', 'mana']","[('iklan',), ('diimana',), ('mana',)]"
['good'],"[('good',)]"
"['selamat', 'soremalam', 'ceo', 'para', 'admin', 'tolong', 'rusak', 'jangan', 'mikirin', 'jual', 'beri', 'skin', 'gratis', 'tolong', 'turet', 'shild', 'damage', 'lebih', 'sakit', 'baru', 'belum', 'menit', 'turet', 'hancur', 'semua', 'tinggal', 'turet', 'utama', 'pdahal', 'tampa', 'minion', 'kocak', 'sesuai', 'sesuai', 'jngn', 'asal', 'beri', 'beri', 'baru', 'terimakasih', 'saran', 'moga', 'dengar', 'saran', 'moga', 'lebih', 'baik']","[('selamat',), ('soremalam',), ('ceo',), ('para',), ('admin',), ('tolong',), ('rusak',), ('jangan',), ('mikirin',), ('jual',), ('beri',), ('skin',), ('gratis',), ('tolong',), ('turet',), ('shild',), ('damage',), ('lebih',), ('sakit',), ('baru',), ('belum',), ('menit',), ('turet',), ('hancur',), ('semua',), ('tinggal',), ('turet',), ('utama',), ('pdahal',), ('tampa',), ('minion',), ('kocak',), ('sesuai',), ('sesuai',), ('jngn',), ('asal',), ('beri',), ('beri',), ('baru',), ('terimakasih',), ('saran',), ('moga',), ('dengar',), ('saran',), ('moga',), ('lebih',), ('baik',)]"
['bagus'],"[('bagus',)]"
['bagus'],"[('bagus',)]"
"['rusak', 'ketemu', 'duo', 'gimna', 'cerita']","[('rusak',), ('ketemu',), ('duo',), ('gimna',), ('cerita',)]"
"['bab', 'indikator', 'asasin', 'simayi', 'lam', 'indikator', 'skill', 'yangg', 'skill', 'diarahin', 'sekarang', 'bisaa', 'sima', 'yi', 'salah', 'lock', 'anj', 'ayo', 'balikin', 'indikator', 'skill']","[('bab',), ('indikator',), ('asasin',), ('simayi',), ('lam',), ('indikator',), ('skill',), ('yangg',), ('skill',), ('diarahin',), ('sekarang',), ('bisaa',), ('sima',), ('yi',), ('salah',), ('lock',), ('anj',), ('ayo',), ('balikin',), ('indikator',), ('skill',)]"
"['seru', 'banget', 'coo', 'stres', 'kyk']","[('seru',), ('banget',), ('coo',), ('stres',), ('kyk',)]"
"['update', 'baru', 'buruk', 'selalu', 'lag', 'keluar', 'sendiri', 'sehingga', 'selalu', 'kena', 'langgar']","[('update',), ('baru',), ('buruk',), ('selalu',), ('lag',), ('keluar',), ('sendiri',), ('sehingga',), ('selalu',), ('kena',), ('langgar',)]"
"['mantep', 'gatau']","[('mantep',), ('gatau',)]"
"['masukin', 'florentino', 'asik', 'florentino', 'tambahin', 'florentino', 'harap', 'florentino']","[('masukin',), ('florentino',), ('asik',), ('florentino',), ('tambahin',), ('florentino',), ('harap',), ('florentino',)]"
"['bagus', 'ngeselin']","[('bagus',), ('ngeselin',)]"
"['semua', 'bagus', 'bagus', 'mulai', 'event', 'bagus', 'semua', 'tolong', 'minimal', 'masa', 'bot', 'farm', 'line', 'magenya', 'mage', 'clash', 'lanenya', 'dongoo', 'clash', 'junggling', 'junggling', 'farm', 'line', 'dongonya', 'sampai', 'ubun', 'ubun', 'tolong', 'minimal']","[('semua',), ('bagus',), ('bagus',), ('mulai',), ('event',), ('bagus',), ('semua',), ('tolong',), ('minimal',), ('masa',), ('bot',), ('farm',), ('line',), ('magenya',), ('mage',), ('clash',), ('lanenya',), ('dongoo',), ('clash',), ('junggling',), ('junggling',), ('farm',), ('line',), ('dongonya',), ('sampai',), ('ubun',), ('ubun',), ('tolong',), ('minimal',)]"
"['frame', 'drop', 'parah', 'banget']","[('frame',), ('drop',), ('parah',), ('banget',)]"
"['wu', 'niru', 'dahh', 'wu', 'palagiat']","[('wu',), ('niru',), ('dahh',), ('wu',), ('palagiat',)]"
"['bagus', 'banget', 'kurang', 'gede', 'mb', 'ajah', 'suka', 'skin', 'ditail', 'banget', 'gitu', 'ramah', 'ramah', 'bagus', 'banget', 'walupun', 'mb', 'besar', 'wortid', 'banget']","[('bagus',), ('banget',), ('kurang',), ('gede',), ('mb',), ('ajah',), ('suka',), ('skin',), ('ditail',), ('banget',), ('gitu',), ('ramah',), ('ramah',), ('bagus',), ('banget',), ('walupun',), ('mb',), ('besar',), ('wortid',), ('banget',)]"
"['bagus', 'unik', 'grafik', 'bagus', 'banget', 'berat', 'paksa', 'uninstall', 'cukup']","[('bagus',), ('unik',), ('grafik',), ('bagus',), ('banget',), ('berat',), ('paksa',), ('uninstall',), ('cukup',)]"
['bagus'],"[('bagus',)]"
"['bsgus', 'try', 'hard']","[('bsgus',), ('try',), ('hard',)]"
"['bagus', 'ping', 'tinggi', 'sinyal', 'bagus', 'buka', 'lain', 'lancar']","[('bagus',), ('ping',), ('tinggi',), ('sinyal',), ('bagus',), ('buka',), ('lain',), ('lancar',)]"
['mending'],"[('mending',)]"
"['jelas', 'sendiri', 'selalu', 'jago', 'banding', 'musuh']","[('jelas',), ('sendiri',), ('selalu',), ('jago',), ('banding',), ('musuh',)]"
['seru'],"[('seru',)]"
['nice'],"[('nice',)]"
"['tolol', 'jelas']","[('tolol',), ('jelas',)]"
