stopwords_removed,unigrams_hok
"['kasa', 'lancar', 'sengaya', 'keluar', 'lowding', 'lama', 'banget']","[('kasa',), ('lancar',), ('sengaya',), ('keluar',), ('lowding',), ('lama',), ('banget',)]"
"['tetap', 'diamon', 'gelap', 'pusing', 'ah']","[('tetap',), ('diamon',), ('gelap',), ('pusing',), ('ah',)]"
"['jarigan', 'stabil', 'banyak', 'bug', 'soryy', 'rerting', 'bintang', 'satu', 'iya']","[('jarigan',), ('stabil',), ('banyak',), ('bug',), ('soryy',), ('rerting',), ('bintang',), ('satu',), ('iya',)]"
"['pernah', 'coba', 'bagus', 'nyoba']","[('pernah',), ('coba',), ('bagus',), ('nyoba',)]"
"['gg', 'seru', 'bagus', 'gratis']","[('gg',), ('seru',), ('bagus',), ('gratis',)]"
"['moga', 'ngecewain', 'jangan', 'mole']","[('moga',), ('ngecewain',), ('jangan',), ('mole',)]"
"['bagus', 'trash', 'makin', 'update', 'makin', 'jelek']","[('bagus',), ('trash',), ('makin',), ('update',), ('makin',), ('jelek',)]"
"['semua', 'coba', 'cuma', 'jaringanya', 'pasti', 'arti', 'lag', 'wifi', 'lancar', 'sinyal', 'full', 'oke', 'lag', 'seakanakan', 'belum', 'server', 'global', 'sekian', 'terimakasih', 'hal', 'lain', 'puas', 'nyaman', 'paling', 'utama', 'mohon', 'kerja', 'rusak', 'sinyal', 'jika', 'tolong', 'periksa', 'otomatis', 'bagi', 'mungkin', 'mengunakan', 'plungin', 'dll']","[('semua',), ('coba',), ('cuma',), ('jaringanya',), ('pasti',), ('arti',), ('lag',), ('wifi',), ('lancar',), ('sinyal',), ('full',), ('oke',), ('lag',), ('seakanakan',), ('belum',), ('server',), ('global',), ('sekian',), ('terimakasih',), ('hal',), ('lain',), ('puas',), ('nyaman',), ('paling',), ('utama',), ('mohon',), ('kerja',), ('rusak',), ('sinyal',), ('jika',), ('tolong',), ('periksa',), ('otomatis',), ('bagi',), ('mungkin',), ('mengunakan',), ('plungin',), ('dll',)]"
"['lebih', 'keren']","[('lebih',), ('keren',)]"
"['jelas', 'sudah', 'dua', 'tetap', 'taik', 'buang', 'babi', 'baru', 'paket', 'gb', 'tadi', 'sore', 'satu', 'hbs', 'tinggal', 'paket', 'yutop', 'gilak', 'parah', 'makan']","[('jelas',), ('sudah',), ('dua',), ('tetap',), ('taik',), ('buang',), ('babi',), ('baru',), ('paket',), ('gb',), ('tadi',), ('sore',), ('satu',), ('hbs',), ('tinggal',), ('paket',), ('yutop',), ('gilak',), ('parah',), ('makan',)]"
[],[]
"['season', 'sekarang', 'kenapa', 'lag', 'minimal', 'lain', 'aman', 'ingame', 'lag', 'males', 'banget', 'server', 'brazil', 'baru', 'lag', 'bukan', 'sendiri']","[('season',), ('sekarang',), ('kenapa',), ('lag',), ('minimal',), ('lain',), ('aman',), ('ingame',), ('lag',), ('males',), ('banget',), ('server',), ('brazil',), ('baru',), ('lag',), ('bukan',), ('sendiri',)]"
['oke'],"[('oke',)]"
"['animasi', 'kurah', 'hidup', 'bagus']","[('animasi',), ('kurah',), ('hidup',), ('bagus',)]"
"['sinyal', 'kenapa', 'jelek']","[('sinyal',), ('kenapa',), ('jelek',)]"
"['bagus', 'seru']","[('bagus',), ('seru',)]"
['keren'],"[('keren',)]"
"['update', 'belum', 'normal', 'normal', 'gede', 'banget', 'sekitar', 'gban']","[('update',), ('belum',), ('normal',), ('normal',), ('gede',), ('banget',), ('sekitar',), ('gban',)]"
['jelek'],"[('jelek',)]"
"['jadul', 'banget', 'buruk']","[('jadul',), ('banget',), ('buruk',)]"
['baik'],"[('baik',)]"
[],[]
"['android', 'baik']","[('android',), ('baik',)]"
"['tier', 'paling', 'niat']","[('tier',), ('paling',), ('niat',)]"
"['my', 'little', 'soda', 'pop']","[('my',), ('little',), ('soda',), ('pop',)]"
['keren'],"[('keren',)]"
"['anggita', 'nurhassanah']","[('anggita',), ('nurhassanah',)]"
"['lumayan', 'seru', 'cuma', 'ngerti', 'item', 'maka', 'bintang']","[('lumayan',), ('seru',), ('cuma',), ('ngerti',), ('item',), ('maka',), ('bintang',)]"
"['baik', 'tier', 'atas', 'bnyak', 'gelap', 'systemnya', 'ketemu', 'asing', 'anehh', 'gameplaynya']","[('baik',), ('tier',), ('atas',), ('bnyak',), ('gelap',), ('systemnya',), ('ketemu',), ('asing',), ('anehh',), ('gameplaynya',)]"
"['candu', 'banget', 'satu', 'walaupun', 'colong', 'samsung', 'j', 'biarin', 'penting', 'kompatibel']","[('candu',), ('banget',), ('satu',), ('walaupun',), ('colong',), ('samsung',), ('j',), ('biarin',), ('penting',), ('kompatibel',)]"
['bagus'],"[('bagus',)]"
"['report', 'makin', 'jelek', 'semenjak', 'gimmick', 'ai', 'ngetroll', 'nyuri', 'kena']","[('report',), ('makin',), ('jelek',), ('semenjak',), ('gimmick',), ('ai',), ('ngetroll',), ('nyuri',), ('kena',)]"
"['timya', 'bloon']","[('timya',), ('bloon',)]"
['inimudah'],"[('inimudah',)]"
"['apresiasi', 'banyak', 'skin', 'gratis', 'bukan', 'skin', 'basic', 'elif', 'bahkan', 'epic', 'njir', 'laa', 'mana', 'paling', 'beri', 'skin', 'basic', 'awok']","[('apresiasi',), ('banyak',), ('skin',), ('gratis',), ('bukan',), ('skin',), ('basic',), ('elif',), ('bahkan',), ('epic',), ('njir',), ('laa',), ('mana',), ('paling',), ('beri',), ('skin',), ('basic',), ('awok',)]"
"['hallo', 'dev', 'edit', 'ulas', 'sedikit', 'keluh', 'agak', 'bingung', 'imbang', 'push', 'musuh', 'lebih', 'tinggi', 'tiernya', 'ketimbang', 'alhasil', 'defeat', 'ketimbang', 'win', 'moga', 'cari', 'imbang', 'tier', 'masing', 'sukses']","[('hallo',), ('dev',), ('edit',), ('ulas',), ('sedikit',), ('keluh',), ('agak',), ('bingung',), ('imbang',), ('push',), ('musuh',), ('lebih',), ('tinggi',), ('tiernya',), ('ketimbang',), ('alhasil',), ('defeat',), ('ketimbang',), ('win',), ('moga',), ('cari',), ('imbang',), ('tier',), ('masing',), ('sukses',)]"
"['selalu', 'jelek', 'jarang', 'banget', 'bagus']","[('selalu',), ('jelek',), ('jarang',), ('banget',), ('bagus',)]"
['niruin'],"[('niruin',)]"
['good'],"[('good',)]"
"['tolong', 'update', 'versi', 'lag', 'banget', 'semenjak', 'spriteling', 'tambah', 'lag']","[('tolong',), ('update',), ('versi',), ('lag',), ('banget',), ('semenjak',), ('spriteling',), ('tambah',), ('lag',)]"
"['bagus', 'jugaa', 'sukaa']","[('bagus',), ('jugaa',), ('sukaa',)]"
"['berharihari', 'kalah', 'ngestack', 'sampah', 'mending', 'balik', 'adil']","[('berharihari',), ('kalah',), ('ngestack',), ('sampah',), ('mending',), ('balik',), ('adil',)]"
"['tarik', 'luar', 'biasa']","[('tarik',), ('luar',), ('biasa',)]"
"['bag', 'wifi', 'bagus', 'bagus', 'nyaman', 'tolong', 'rusak']","[('bag',), ('wifi',), ('bagus',), ('bagus',), ('nyaman',), ('tolong',), ('rusak',)]"
"['seru', 'lag']","[('seru',), ('lag',)]"
