stopwords_removed,bigrams_hok
"['bang', 'tepat', 'janji', 'mu', 'banyak', 'skin', 'gratis', 'cuma', 'kasi', 'skin', 'banyak', 'jarak', 'jauh', 'iklan', 'banyak', 'skin', 'gratis', 'bajingngan']","[('bang', 'tepat'), ('tepat', 'janji'), ('janji', 'mu'), ('mu', 'banyak'), ('banyak', 'skin'), ('skin', 'gratis'), ('gratis', 'cuma'), ('cuma', 'kasi'), ('kasi', 'skin'), ('skin', 'banyak'), ('banyak', 'jarak'), ('jarak', 'jauh'), ('jauh', 'iklan'), ('iklan', 'banyak'), ('banyak', 'skin'), ('skin', 'gratis'), ('gratis', 'bajingngan')]"
['mantap'],[]
"['feel', 'dalam', 'kurang', 'asa', 'sehingga', 'enjoyble', 'dalam']","[('feel', 'dalam'), ('dalam', 'kurang'), ('kurang', 'asa'), ('asa', 'sehingga'), ('sehingga', 'enjoyble'), ('enjoyble', 'dalam')]"
"['kurang', 'bagus', 'baru', 'sudah', 'patah', 'patah', 'bagus', 'lo', 'bagus', 'lag', 'patah', 'patah', 'kocak']","[('kurang', 'bagus'), ('bagus', 'baru'), ('baru', 'sudah'), ('sudah', 'patah'), ('patah', 'patah'), ('patah', 'bagus'), ('bagus', 'lo'), ('lo', 'bagus'), ('bagus', 'lag'), ('lag', 'patah'), ('patah', 'patah'), ('patah', 'kocak')]"
"['boot', 'menang', 'pernah', 'payah', 'imbang']","[('boot', 'menang'), ('menang', 'pernah'), ('pernah', 'payah'), ('payah', 'imbang')]"
"['bagus', 'seru']","[('bagus', 'seru')]"
"['please', 'make', 'fairer']","[('please', 'make'), ('make', 'fairer')]"
"['bagus', 'banget', 'mana', 'offline']","[('bagus', 'banget'), ('banget', 'mana'), ('mana', 'offline')]"
"['nilai', 'hukum', 'masuk', 'akal', 'force', 'close', 'signal', 'towing']","[('nilai', 'hukum'), ('hukum', 'masuk'), ('masuk', 'akal'), ('akal', 'force'), ('force', 'close'), ('close', 'signal'), ('signal', 'towing')]"
"['bintang', 'lama', 'ken', 'akun', 'hilang', 'akun', 'google', 'ingat', 'nyambungin', 'mana', 'agak', 'kesal', 'akun', 'kerenlevel', 'infinity', 'jaga', 'signature', 'nyabuat', 'pensi', 'haru', 'pensi', 'habis', 'kapan', 'hapus', 'akun', 'agak', 'nyesel', 'pernah', 'sumpah', 'muak', 'gimana']","[('bintang', 'lama'), ('lama', 'ken'), ('ken', 'akun'), ('akun', 'hilang'), ('hilang', 'akun'), ('akun', 'google'), ('google', 'ingat'), ('ingat', 'nyambungin'), ('nyambungin', 'mana'), ('mana', 'agak'), ('agak', 'kesal'), ('kesal', 'akun'), ('akun', 'kerenlevel'), ('kerenlevel', 'infinity'), ('infinity', 'jaga'), ('jaga', 'signature'), ('signature', 'nyabuat'), ('nyabuat', 'pensi'), ('pensi', 'haru'), ('haru', 'pensi'), ('pensi', 'habis'), ('habis', 'kapan'), ('kapan', 'hapus'), ('hapus', 'akun'), ('akun', 'agak'), ('agak', 'nyesel'), ('nyesel', 'pernah'), ('pernah', 'sumpah'), ('sumpah', 'muak'), ('muak', 'gimana')]"
