stopwords_removed,bigrams_mlbb
"['bagus', 'bgtt', 'walaupun', 'lag', 'gatau', 'knp', 'wifi', 'bagus', 'win', 'kalah', 'lebih', 'win', 'gara', 'gara', 'bot', 'gitu', 'thanks']","[('bagus', 'bgtt'), ('bgtt', 'walaupun'), ('walaupun', 'lag'), ('lag', 'gatau'), ('gatau', 'knp'), ('knp', 'wifi'), ('wifi', 'bagus'), ('bagus', 'win'), ('win', 'kalah'), ('kalah', 'lebih'), ('lebih', 'win'), ('win', 'gara'), ('gara', 'gara'), ('gara', 'bot'), ('bot', 'gitu'), ('gitu', 'thanks')]"
"['kontolo', 'memek']","[('kontolo', 'memek')]"
"['seru', 'banget']","[('seru', 'banget')]"
"['ubah', 'rang']","[('ubah', 'rang')]"
"['suka', 'banget', 'seru']","[('suka', 'banget'), ('banget', 'seru')]"
"['terimakasih', 'teman', 'nin', 'pergi', 'lama', 'mu', 'lama', 'love', 'you', 'bye']","[('terimakasih', 'teman'), ('teman', 'nin'), ('nin', 'pergi'), ('pergi', 'lama'), ('lama', 'mu'), ('mu', 'lama'), ('lama', 'love'), ('love', 'you'), ('you', 'bye')]"
['seru'],[]
"['gg', 'coo', 'keren', 'mantap', 'lebih', 'keren', 'ff', 'awokawokawok']","[('gg', 'coo'), ('coo', 'keren'), ('keren', 'mantap'), ('mantap', 'lebih'), ('lebih', 'keren'), ('keren', 'ff'), ('ff', 'awokawokawok')]"
"['tolong', 'lawan']","[('tolong', 'lawan')]"
['tolol'],[]
"['rusak', 'bug', 'hijau', 'lag']","[('rusak', 'bug'), ('bug', 'hijau'), ('hijau', 'lag')]"
"['maaf', 'motoon', 'inanilahi', 'mati', 'pensi', 'cpe', 'naik', 'trun', 'naik', 'trun', 'bismilah', 'mti']","[('maaf', 'motoon'), ('motoon', 'inanilahi'), ('inanilahi', 'mati'), ('mati', 'pensi'), ('pensi', 'cpe'), ('cpe', 'naik'), ('naik', 'trun'), ('trun', 'naik'), ('naik', 'trun'), ('trun', 'bismilah'), ('bismilah', 'mti')]"
"['minimal', 'lgi']","[('minimal', 'lgi')]"
"['tolol', 'musuh', 'susah', 'kasi', 'ws']","[('tolol', 'musuh'), ('musuh', 'susah'), ('susah', 'kasi'), ('kasi', 'ws')]"
"['goblog', 'pusing']","[('goblog', 'pusing')]"
"['ramah', 'sombong']","[('ramah', 'sombong')]"
['lostrek'],[]
"['hadeh', 'bayak', 'gelap', 'epik', 'gj', 'jelas', 'lus']","[('hadeh', 'bayak'), ('bayak', 'gelap'), ('gelap', 'epik'), ('epik', 'gj'), ('gj', 'jelas'), ('jelas', 'lus')]"
"['sang', 'at', 'bail', 'mi']","[('sang', 'at'), ('at', 'bail'), ('bail', 'mi')]"
"['timgak', 'amin']","[('timgak', 'amin')]"
['bagus'],[]
"['mantap', 'sakuramba']","[('mantap', 'sakuramba')]"
"['pilih', 'anjg']","[('pilih', 'anjg')]"
"['sinyal', 'bagus', 'standart', 'kenapa', 'lag', 'akibat', 'hitung', 'afk', 'rugi', 'nyari', 'senang', 'stres']","[('sinyal', 'bagus'), ('bagus', 'standart'), ('standart', 'kenapa'), ('kenapa', 'lag'), ('lag', 'akibat'), ('akibat', 'hitung'), ('hitung', 'afk'), ('afk', 'rugi'), ('rugi', 'nyari'), ('nyari', 'senang'), ('senang', 'stres')]"
"['kalah', 'gara', 'gara', 'jago', 'bae', 'musuh', 'drack', 'semua']","[('kalah', 'gara'), ('gara', 'gara'), ('gara', 'jago'), ('jago', 'bae'), ('bae', 'musuh'), ('musuh', 'drack'), ('drack', 'semua')]"
['adil'],[]
"['seru', 'banget']","[('seru', 'banget')]"
"['bagus', 'suka', 'makanya', 'jgn', 'bot', 'sudah', 'kg', 'bs', 'dongoo']","[('bagus', 'suka'), ('suka', 'makanya'), ('makanya', 'jgn'), ('jgn', 'bot'), ('bot', 'sudah'), ('sudah', 'kg'), ('kg', 'bs'), ('bs', 'dongoo')]"
"['susah', 'banget', 'masuk', 'makin', 'berat']","[('susah', 'banget'), ('banget', 'masuk'), ('masuk', 'makin'), ('makin', 'berat')]"
"['kalah', 'menang', 'sudah', 'biasa', 'kalah', 'tanpa', 'progress', 'sebal', 'baru', 'season', 'sekarang', 'alami', 'hal', 'your', 'gelap']","[('kalah', 'menang'), ('menang', 'sudah'), ('sudah', 'biasa'), ('biasa', 'kalah'), ('kalah', 'tanpa'), ('tanpa', 'progress'), ('progress', 'sebal'), ('sebal', 'baru'), ('baru', 'season'), ('season', 'sekarang'), ('sekarang', 'alami'), ('alami', 'hal'), ('hal', 'your'), ('your', 'gelap')]"
['suka'],[]
"['seru', 'senang', 'enak', 'dimainin', 'seru', 'banget', 'teman', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'banget', 'lebih', 'seru', 'sonia', 'sun', 'sun', 'guys', 'usah', 'teman', 'lebih', 'seru', 'hujanhujanan', 'dimarahin', 'tuhan']","[('seru', 'senang'), ('senang', 'enak'), ('enak', 'dimainin'), ('dimainin', 'seru'), ('seru', 'banget'), ('banget', 'teman'), ('teman', 'seru'), ('seru', 'seru'), ('seru', 'seru'), ('seru', 'seru'), ('seru', 'seru'), ('seru', 'seru'), ('seru', 'seru'), ('seru', 'banget'), ('banget', 'lebih'), ('lebih', 'seru'), ('seru', 'sonia'), ('sonia', 'sun'), ('sun', 'sun'), ('sun', 'guys'), ('guys', 'usah'), ('usah', 'teman'), ('teman', 'lebih'), ('lebih', 'seru'), ('seru', 'hujanhujanan'), ('hujanhujanan', 'dimarahin'), ('dimarahin', 'tuhan')]"
['kontl'],[]
"['cuma', 'fokus', 'event', 'tanpa', 'optimal', 'ubah', 'ui', 'cacat', 'serius', 'fokus', 'jual', 'merchandise', 'event', 'kikir']","[('cuma', 'fokus'), ('fokus', 'event'), ('event', 'tanpa'), ('tanpa', 'optimal'), ('optimal', 'ubah'), ('ubah', 'ui'), ('ui', 'cacat'), ('cacat', 'serius'), ('serius', 'fokus'), ('fokus', 'jual'), ('jual', 'merchandise'), ('merchandise', 'event'), ('event', 'kikir')]"
"['stuck', 'baik', 'jg']","[('stuck', 'baik'), ('baik', 'jg')]"
"['ngga', 'guna', 'ngga', 'pernah', 'beri', 'bangus']","[('ngga', 'guna'), ('guna', 'ngga'), ('ngga', 'pernah'), ('pernah', 'beri'), ('beri', 'bangus')]"
"['sinyal', 'bagus', 'gerak', 'ngentod', 'niat']","[('sinyal', 'bagus'), ('bagus', 'gerak'), ('gerak', 'ngentod'), ('ngentod', 'niat')]"
"['seru', 'banyak', 'gelap', 'sytem', 'bintang', 'naik', 'legen', 'poke', 'musuh', 'top', 'globalpenjoki']","[('seru', 'banyak'), ('banyak', 'gelap'), ('gelap', 'sytem'), ('sytem', 'bintang'), ('bintang', 'naik'), ('naik', 'legen'), ('legen', 'poke'), ('poke', 'musuh'), ('musuh', 'top'), ('top', 'globalpenjoki')]"
['jembut'],[]
['anjing'],[]
"['banyak', 'update', 'sinyal', 'server', 'urus', 'sinyal', 'bagus', 'lag']","[('banyak', 'update'), ('update', 'sinyal'), ('sinyal', 'server'), ('server', 'urus'), ('urus', 'sinyal'), ('sinyal', 'bagus'), ('bagus', 'lag')]"
['bagus'],[]
"['bagus', 'walaupun', 'ngelagketemu', 'gelap', 'situ', 'ajar', 'toxic', 'terimakasih', 'developer', 'makanya', 'dm', 'sampai', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh']","[('bagus', 'walaupun'), ('walaupun', 'ngelagketemu'), ('ngelagketemu', 'gelap'), ('gelap', 'situ'), ('situ', 'ajar'), ('ajar', 'toxic'), ('toxic', 'terimakasih'), ('terimakasih', 'developer'), ('developer', 'makanya'), ('makanya', 'dm'), ('dm', 'sampai'), ('sampai', 'assalamualaikum'), ('assalamualaikum', 'warahmatullahi'), ('warahmatullahi', 'wabarakatuh')]"
"['seru', 'knpa', 'beberapa', 'parah', 'banget', 'pdhl', 'bagus', 'langsung', 'parah', 'banget', 'pdhl', 'belum', 'gprnh', 'masalah', 'lg']","[('seru', 'knpa'), ('knpa', 'beberapa'), ('beberapa', 'parah'), ('parah', 'banget'), ('banget', 'pdhl'), ('pdhl', 'bagus'), ('bagus', 'langsung'), ('langsung', 'parah'), ('parah', 'banget'), ('banget', 'pdhl'), ('pdhl', 'belum'), ('belum', 'gprnh'), ('gprnh', 'masalah'), ('masalah', 'lg')]"
"['rekomendasi', 'ton', 'kurang', 'gelap']","[('rekomendasi', 'ton'), ('ton', 'kurang'), ('kurang', 'gelap')]"
"['pertama', 'terimakasih', 'cipta', 'epic', 'beri', 'saran', 'tolong', 'benah', 'minta', 'tolong', 'benah', 'matching', 'garis', 'bawah', 'sungguh', 'classic', 'lagend', 'dapetnya', 'pangkat', 'warior', 'masuk', 'akal', 'mohon', 'benah', 'begitu', 'sudah', 'maklum', 'classic', 'lebih']","[('pertama', 'terimakasih'), ('terimakasih', 'cipta'), ('cipta', 'epic'), ('epic', 'beri'), ('beri', 'saran'), ('saran', 'tolong'), ('tolong', 'benah'), ('benah', 'minta'), ('minta', 'tolong'), ('tolong', 'benah'), ('benah', 'matching'), ('matching', 'garis'), ('garis', 'bawah'), ('bawah', 'sungguh'), ('sungguh', 'classic'), ('classic', 'lagend'), ('lagend', 'dapetnya'), ('dapetnya', 'pangkat'), ('pangkat', 'warior'), ('warior', 'masuk'), ('masuk', 'akal'), ('akal', 'mohon'), ('mohon', 'benah'), ('benah', 'begitu'), ('begitu', 'sudah'), ('sudah', 'maklum'), ('maklum', 'classic'), ('classic', 'lebih')]"
"['selalu', 'adil', 'mana', 'musuh', 'terlalu', 'jago', 'mula']","[('selalu', 'adil'), ('adil', 'mana'), ('mana', 'musuh'), ('musuh', 'terlalu'), ('terlalu', 'jago'), ('jago', 'mula')]"
"['ketemu', 'bot']","[('ketemu', 'bot')]"
"['minimal', 'beri', 'musuh', 'sendiri', 'imbang', 'laa', 'sendiri', 'gabisaa', 'lawan', 'jago', 'gimana', 'menang']","[('minimal', 'beri'), ('beri', 'musuh'), ('musuh', 'sendiri'), ('sendiri', 'imbang'), ('imbang', 'laa'), ('laa', 'sendiri'), ('sendiri', 'gabisaa'), ('gabisaa', 'lawan'), ('lawan', 'jago'), ('jago', 'gimana'), ('gimana', 'menang')]"
"['inih', 'bagus']","[('inih', 'bagus')]"
"['legends', 'seruu']","[('legends', 'seruu')]"
['baik'],[]
